N_channels,pressure_drop_Pa,Q_single_m3s,Q_total_m3s,Q_total_Lmin,velocity_ms,reynolds_number,efficiency
1000,500,2.4543692606170263e-06,0.0024543692606170263,147.26215563702158,0.7812500000000002,1953.1250000000005,0.29452431127404316
1000,1000,4.9087385212340526e-06,0.004908738521234053,294.52431127404316,1.5625000000000004,3906.250000000001,0.29452431127404316
1000,1500,7.363107781851078e-06,0.0073631077818510785,441.78646691106474,2.3437500000000004,5859.375000000001,0.29452431127404316
1000,2000,9.817477042468105e-06,0.009817477042468105,589.0486225480863,3.125000000000001,7812.500000000002,0.29452431127404316
1000,2500,1.227184630308513e-05,0.01227184630308513,736.3107781851077,3.9062500000000004,9765.625,0.29452431127404305
5000,500,2.4543692606170263e-06,0.012271846303085131,736.3107781851078,0.7812500000000002,1953.1250000000005,1.4726215563702156
5000,1000,4.9087385212340526e-06,0.024543692606170262,1472.6215563702156,1.5625000000000004,3906.250000000001,1.4726215563702156
5000,1500,7.363107781851078e-06,0.036815538909255395,2208.932334555324,2.3437500000000004,5859.375000000001,1.4726215563702159
5000,2000,9.817477042468105e-06,0.049087385212340524,2945.243112740431,3.125000000000001,7812.500000000002,1.4726215563702156
5000,2500,1.227184630308513e-05,0.061359231515425654,3681.5538909255392,3.9062500000000004,9765.625,1.4726215563702156
10000,500,2.4543692606170263e-06,0.024543692606170262,1472.6215563702156,0.7812500000000002,1953.1250000000005,2.9452431127404313
10000,1000,4.9087385212340526e-06,0.049087385212340524,2945.243112740431,1.5625000000000004,3906.250000000001,2.9452431127404313
10000,1500,7.363107781851078e-06,0.07363107781851079,4417.864669110648,2.3437500000000004,5859.375000000001,2.9452431127404317
10000,2000,9.817477042468105e-06,0.09817477042468105,5890.486225480862,3.125000000000001,7812.500000000002,2.9452431127404313
10000,2500,1.227184630308513e-05,0.12271846303085131,7363.1077818510785,3.9062500000000004,9765.625,2.9452431127404313
15000,500,2.4543692606170263e-06,0.036815538909255395,2208.932334555324,0.7812500000000002,1953.1250000000005,4.417864669110648
15000,1000,4.9087385212340526e-06,0.07363107781851079,4417.864669110648,1.5625000000000004,3906.250000000001,4.417864669110648
15000,1500,7.363107781851078e-06,0.11044661672776618,6626.797003665971,2.3437500000000004,5859.375000000001,4.417864669110648
15000,2000,9.817477042468105e-06,0.14726215563702158,8835.729338221296,3.125000000000001,7812.500000000002,4.417864669110648
15000,2500,1.227184630308513e-05,0.18407769454627695,11044.661672776618,3.9062500000000004,9765.625,4.417864669110647
20000,500,2.4543692606170263e-06,0.049087385212340524,2945.243112740431,0.7812500000000002,1953.1250000000005,5.8904862254808625
20000,1000,4.9087385212340526e-06,0.09817477042468105,5890.486225480862,1.5625000000000004,3906.250000000001,5.8904862254808625
20000,1500,7.363107781851078e-06,0.14726215563702158,8835.729338221296,2.3437500000000004,5859.375000000001,5.890486225480863
20000,2000,9.817477042468105e-06,0.1963495408493621,11780.972450961724,3.125000000000001,7812.500000000002,5.8904862254808625
20000,2500,1.227184630308513e-05,0.24543692606170261,14726.215563702157,3.9062500000000004,9765.625,5.8904862254808625
